"INDICATOR","HFAMDB_405"

"HFAMDB_405","Influenza, number of deaths, by sex"

"UNIT_TYPE","Unit"
"NUM_DTH","number of deaths"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"BEL","","TOTAL","FEMALE","2012","72"
"ALB","","TOTAL","MALE","2008","4"
"ALB","","TOTAL","FEMALE","2007","8"
"ALB","","TOTAL","ALL","2007","14"
"ALB","","TOTAL","MALE","2009","2"
"ALB","","TOTAL","ALL","2005","29"
"ALB","","TOTAL","ALL","2009","8"
"ALB","","TOTAL","MALE","2005","14"
"ALB","","TOTAL","ALL","2006","10"
"ALB","","TOTAL","ALL","2008","4"
"ALB","","TOTAL","MALE","2006","5"
"ALB","","TOTAL","MALE","2007","6"
"AUT","","TOTAL","MALE","2012","12"
"AUT","","TOTAL","ALL","2012","27"
"AUT","","TOTAL","FEMALE","2012","15"
"BEL","","TOTAL","MALE","2011","23"
"BEL","","TOTAL","FEMALE","2000","250"
"BEL","","TOTAL","MALE","2000","143"
"BEL","","TOTAL","FEMALE","2011","21"
"BEL","","TOTAL","ALL","2011","44"
"BEL","","TOTAL","ALL","2000","393"
"BLR","","TOTAL","MALE","2011","12"
"BLR","","TOTAL","ALL","2011","26"
"BLR","","TOTAL","FEMALE","2011","14"
"CYP","","TOTAL","ALL","2012","2"
"CYP","","TOTAL","FEMALE","1999","0"
"CYP","","TOTAL","ALL","1999","1"
"CYP","","TOTAL","MALE","1999","1"
"CYP","","TOTAL","FEMALE","2012","2"
"DNK","","TOTAL","MALE","2012","4"
"DNK","","TOTAL","ALL","2012","13"
"DNK","","TOTAL","FEMALE","2012","9"
"FIN","","TOTAL","ALL","2012","37"
"FIN","","TOTAL","MALE","2012","12"
"FIN","","TOTAL","FEMALE","2012","25"
"FRA","","TOTAL","FEMALE","2011","113"
"FRA","","TOTAL","MALE","2011","115"
"FRA","","TOTAL","ALL","2011","228"
"GEO","","TOTAL","FEMALE","2011","7"
"GEO","","TOTAL","MALE","2012","6"
"GEO","","TOTAL","ALL","2012","9"
"GEO","","TOTAL","FEMALE","2012","3"
"GEO","","TOTAL","ALL","2011","14"
"GEO","","TOTAL","MALE","2011","7"
"GRC","","TOTAL","MALE","2012","4"
"GRC","","TOTAL","ALL","2012","8"
"GRC","","TOTAL","FEMALE","2012","4"
"ISR","","TOTAL","FEMALE","2012","3"
"ISR","","TOTAL","ALL","2012","7"
"ISR","","TOTAL","MALE","2012","4"
"ITA","","TOTAL","FEMALE","2011","232"
"ITA","","TOTAL","MALE","2011","168"
"ITA","","TOTAL","ALL","2011","400"
"KAZ","","TOTAL","ALL","2012","18"
"KAZ","","TOTAL","MALE","2012","12"
"KAZ","","TOTAL","FEMALE","2012","6"
"KGZ","","TOTAL","FEMALE","2011","38"
"KGZ","","TOTAL","ALL","2012","72"
"KGZ","","TOTAL","MALE","2011","42"
"KGZ","","TOTAL","FEMALE","2012","31"
"KGZ","","TOTAL","ALL","2011","80"
"KGZ","","TOTAL","MALE","2012","41"
"LTU","","TOTAL","ALL","2012","2"
"LTU","","TOTAL","FEMALE","2011","6"
"LTU","","TOTAL","FEMALE","2012","2"
"LTU","","TOTAL","ALL","2011","12"
"LTU","","TOTAL","MALE","2011","6"
"MNE","","TOTAL","ALL","2001","1"
"MNE","","TOTAL","FEMALE","2002","1"
"MNE","","TOTAL","MALE","2001","1"
"MNE","","TOTAL","ALL","2002","1"
"NLD","","TOTAL","FEMALE","2012","90"
"NLD","","TOTAL","ALL","2012","141"
"NLD","","TOTAL","MALE","2012","51"
"POL","","TOTAL","FEMALE","2012","3"
"POL","","TOTAL","ALL","2012","4"
"POL","","TOTAL","MALE","2012","1"
"PRT","","TOTAL","MALE","2012","16"
"PRT","","TOTAL","FEMALE","2012","27"
"PRT","","TOTAL","ALL","2012","43"
"ROU","","TOTAL","FEMALE","2012","5"
"ROU","","TOTAL","MALE","2012","2"
"ROU","","TOTAL","ALL","2012","7"
"RUS","","TOTAL","ALL","2011","530"
"RUS","","TOTAL","FEMALE","2011","255"
"RUS","","TOTAL","MALE","2011","275"
"ESP","","TOTAL","FEMALE","2012","112"
"ESP","","TOTAL","ALL","2012","165"
"ESP","","TOTAL","MALE","2012","53"
"SWE","","TOTAL","ALL","2011","39"
"SWE","","TOTAL","MALE","2011","17"
"SWE","","TOTAL","FEMALE","2012","97"
"SWE","","TOTAL","MALE","2012","59"
"SWE","","TOTAL","ALL","2012","156"
"SWE","","TOTAL","FEMALE","2011","22"
"TUR","","TOTAL","MALE","2012","15"
"TUR","","TOTAL","FEMALE","2012","26"
"TUR","","TOTAL","ALL","2012","41"
"AUT","","TOTAL","FEMALE","2013","16"
"AUT","","TOTAL","ALL","2013","35"
"AUT","","TOTAL","MALE","2013","19"
"BEL","","TOTAL","MALE","2012","35"
"BEL","","TOTAL","MALE","2002","58"
"BEL","","TOTAL","MALE","2001","24"
"BEL","","TOTAL","ALL","2001","59"
"BEL","","TOTAL","ALL","2012","107"
"BEL","","TOTAL","ALL","2002","163"
"BEL","","TOTAL","FEMALE","2002","105"
"BEL","","TOTAL","FEMALE","2001","35"
"FIN","","TOTAL","ALL","2013","28"
"ITA","","TOTAL","MALE","2012","154"
"ITA","","TOTAL","FEMALE","2012","300"
"ITA","","TOTAL","ALL","2012","454"
"LUX","","TOTAL","ALL","2013","5"
"LUX","","TOTAL","MALE","2013","1"
"LUX","","TOTAL","FEMALE","2013","4"
"NLD","","TOTAL","ALL","2013","262"
"NLD","","TOTAL","MALE","2013","95"
"NLD","","TOTAL","FEMALE","2013","167"
"NOR","","TOTAL","MALE","2013","33"
"NOR","","TOTAL","ALL","2013","77"
"NOR","","TOTAL","FEMALE","2013","44"
"POL","","TOTAL","MALE","2013","56"
"POL","","TOTAL","ALL","2013","115"
"POL","","TOTAL","FEMALE","2013","59"
"PRT","","TOTAL","ALL","2013","25"
"PRT","","TOTAL","MALE","2013","10"
"PRT","","TOTAL","FEMALE","2013","15"
"ESP","","TOTAL","ALL","2013","88"
"ESP","","TOTAL","FEMALE","2013","44"
"ESP","","TOTAL","MALE","2013","44"
"SWE","","TOTAL","FEMALE","2013","84"
"SWE","","TOTAL","MALE","2013","62"
"SWE","","TOTAL","ALL","2013","146"
"KGZ","","TOTAL","ALL","2013","45"
"KGZ","","TOTAL","MALE","2013","27"
"KGZ","","TOTAL","FEMALE","2013","18"
"HRV","","TOTAL","ALL","2013","32"
"HRV","","TOTAL","MALE","2013","13"
"HRV","","TOTAL","FEMALE","2013","19"
"CZE","","TOTAL","FEMALE","2013","82"
"CZE","","TOTAL","ALL","2013","183"
"CZE","","TOTAL","MALE","2013","101"
"DEU","","TOTAL","MALE","2013","130"
"DEU","","TOTAL","ALL","2013","301"
"DEU","","TOTAL","FEMALE","2013","171"
"HUN","","TOTAL","FEMALE","2013","2"
"HUN","","TOTAL","ALL","2013","7"
"HUN","","TOTAL","MALE","2013","5"
"MDA","","TOTAL","MALE","2013","6"
"MDA","","TOTAL","ALL","2013","14"
"MDA","","TOTAL","FEMALE","2013","8"
"SRB","","TOTAL","MALE","2013","12"
"SRB","","TOTAL","FEMALE","2013","3"
"SRB","","TOTAL","ALL","2013","15"
"TUR","","TOTAL","MALE","2013","52"
"TUR","","TOTAL","FEMALE","2013","49"
"TUR","","TOTAL","ALL","2013","101"
"ALB","","TOTAL","ALL","1987","99"
"ALB","","TOTAL","ALL","1988","73"
"ALB","","TOTAL","ALL","1989","160"
"ALB","","TOTAL","ALL","1992","143"
